xml filename,htm filename,Sanskrit Filename,Tibetan Filename,d_ref,CBETA number,Remarks Chinese translation,Full title of the text,Additional information,Author,author_id,GRETIL/DSBC Link,Reconstructed,Edition on Archive,DSBC
sa_AryazUra-jAtakamAlA.xml,bsa032_u.htm,T09bsa032_u,T09D4150,D4150,T03_0160,,Jātakamālā,,Āryaśūra,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa032_u.htm,,https://archive.org/search.php?query=J%C4%81takam%C4%81l%C4%81,y
sa_AryazUra-jAtakamAlA-1-15.xml,ajm_u.htm,T09ajm_u,,,T03n0160,Sanskrit only partially available (1-15),Jātakamālā,,Āryaśūra,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/ajm_u.htm,,https://archive.org/search.php?query=J%C4%81takam%C4%81l%C4%81,
sa_suvarNavarNAvadAna.xml,suvrnavu.htm,T08suvrnavu,D4144,D4144,T14n0550,,Suvarṇavarṇāvadāna,,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/suvrnavu.htm,,,
sa_zrIghanAcArasaMgraha.xml,sghancsu.htm,T08sghancsu,,,,Not found.,Śrighanācārasaṃgraha,,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/sghancsu.htm,Reconstructed,,y
sa_jayarakSita-sphuTArthA-zrIghanAcArasaMgrahaTIkA.xml,jsphustu.htm,T08jsphustu,,,,Not found.,Sphuṭārthā Śrīghanācārasaṃgrahaṭīkā,,Jayarakṣita,P0ER0005,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/jsphustu.htm,,,y
sa_yazomitra-sphuTArthA-abhidharmakozavyAkhyA.xml,yabhkvyu.htm,T07yabhkvyu,T07D4092-merged,D4092,,Not translated into Chinese,Sphuṭārthā Abhidharmakośavyākhyā,,Yaśomitra,P4CZ15477,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/yabhkvyu.htm,,,
sa_vasubandhu-abhidharmakoza.xml,vakobhku.htm,T07vakobhku,T07D4089,D4089,T29n1560,,Abhidharmakośakārikā,,Vasubandhu,P6119,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/vakobhku.htm,,,y
sa_vasubandhu-abhidharmakozabhASya.xml,vakobhau.htm,T07vakobhau,T07D4090-merged,D4090,"T29n1558,T29n1559",,Abhidharmakośabhāṣya,,Vasubandhu,P6119,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/vakobhau.htm,,,
sa_vimalamitra-abhidharmadIpa-1-383.xml,vabhdilu.htm,T07vabhdilu,,,,Not translated into Chinese,Abhidharmadipakārikā,Kārikās 1–383,Vimalamitra,P0AT0289,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/vabhdilu.htm,,,y
sa_vimalamitra-abhidharmadIpa.xml,vabhdiku.htm,T07vabhdiku,,,,Not translated into Chinese,Abhidharmadīpakārikā,Kārikās 1–597,Vimalamitra,P0AT0289,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/vabhdiku.htm,,,y
sa_vimalamitra-abhidharmadIpa-comm.xml,vabhdicu.htm,T07vabhdicu,,,,Not translated into Chinese,Vibhāṣāprabhāvṛtti,,Vimalamitra,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/vabhdicu.htm,,,y
sa_udAnavarga.xml,udanav_u.htm,T07udanav_u,"D326, D4099","D326, D4099","T04n0213, T04n0212",Michael: The equivalence between T212 and Udānavarga is only imperfect. Sebastian: That is true - ven. Vimala of SuttaCentral has been working on a manual alignment of this text and we might be able to use data from SC directly.,Udānavarga,,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/udanav_u.htm,,https://archive.org/search.php?query=Ud%C4%81navarga,
sa_nAgArjuna-dharmadhAtugarbhavivaraNa.xml,nagdhdbu.htm,T07nagdhdbu,T07D4101,D4101,,Not found.,Dharmadhātugarbhavivaraṇa,,Nāgārjuna,P4954,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/nagdhdbu.htm,,,y
sa_harivarman-satyasiddhizAstram.xml,hvsatssu.htm,T07hvsatssu,,,T32n1646,"This is a backtranslation from the Chn. *Maybe* of limited use for training, we have to see.",Satyasiddhiśāstra [Tattvasiddhiśāstra],,Harivarman,P0ER0010,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/hvsatssu.htm,,,
sa_dharmaskandha.xml,dhrmsk_u.htm,T07dhrmsk_u,D245,D245,T26n1537,,Dharmaskandha,,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/dhrmsk_u.htm,,,
sa_vasubandhu-madhyAntavibhAgakArikAbhASya.xml,vmvkbh_u.htm,T06vmvkbh_u,T06D4027,D4027,"T31n1599, T31n1600",,Madhyāntavibhāgabhāṣya [Madhyāntavibhāgakārikābhāṣya],,Vasubandhu,P6119,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/vmvkbh_u.htm,,,
sa_vasubandhu-viMzatikA-vijJaptimAtratAsiddhi.xml,vasvvmsu.htm,T06vasvvmsu,"T06D4057, 4056","D4057, D4056","T31n1588, T31n1589, T31n1590",Michael: T1589 is also an imperfect match to Viṃśatikā or any Skt commentary thereon.,Viṃśatikā vijñaptimātratāsiddhi [Viṃśikāvṛtti],,Vasubandhu,P6119,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/vasvvmsu.htm,,,
sa_vasubandhu-triMzikAvijJaptikArikA-comm.xml,sthtvbhu.htm,T06sthtvbhu,T06D4064,D4064,T31n1585,"T31n1585 is a compilation of various Indian commentaries, including T06sthtvbhu",Triṃśikāvijñaptibhāṣya [Triṃśikābhāṣya],,Sthiramati,P4CZ16794,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/sthtvbhu.htm,,,
sa_asaGga-zrAvakabhUmi-edshukla.xml,srabhusu.htm,T06srabhusu,T06D4036,D4036,T30n1579,one chapter of T30n1579,Yogācārabhūmi: Śrāvakabhūmi,,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/srabhusu.htm,,https://archive.org/details/Sravakabhumi,
sa_zrAvakabhUmi.xml,srabhu_u.htm,T06srabhu_u,,,T30n1579,one chapter of T30n1579,Yogācārabhūmi: Śrāvakabhūmi,,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/srabhu_u.htm,,https://archive.org/details/Sravakabhumi,
