Sanskrit Filename,Tibetan Filename,d_ref,CBETA number,Remarks Chinese translation,Full title of the text,Additional information,Author,author_id,GRETIL/DSBC Link,Reconstructed,Edition on Archive
GSP33brsgor2u,,,,,Brahmasūtra: Adhyāya 2,,Bādarāyaṇa,P0AT0228,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/brsgor2u.htm,,https://archive.org/search.php?query=Brahmas%C5%ABtra
GSP33brsgor1u,,,,,Brahmasūtra: Adhyāya 1,,Bādarāyaṇa,P0AT0228,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/brsgor1u.htm,,https://archive.org/search.php?query=Brahmas%C5%ABtra
GSP33brahmsuu,,,,,Brahmasūtra,,Bādarāyaṇa,P0AT0228,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/brahmsuu.htm,,https://archive.org/search.php?query=Brahmas%C5%ABtra
GSP33brahms2u,,,,,Brahmasūtra,Alternative version,Bādarāyaṇa,P0AT0228,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/brahms2u.htm,,https://archive.org/search.php?query=Brahmas%C5%ABtra
GSP33bhgsbh_u,,,,,Bhagavadgītābhāṣya,,Śaṃkara,?,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/bhgsbh_u.htm,,
GSP33bhbhg_cu,,,,,Bhagavadāśayānusaraṇabhāsya,"On the Bhagavadgītā, Adhyāyas 1-9",Bhāskara,P0AT0229,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/bhbhg_cu.htm,,
GSP33bbdip13u,,,,,"Brahmasūtra: Adhyāya 1, Pāda 3",,Bādarāyaṇa,P0AT0228,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/bbdip13u.htm,,https://archive.org/search.php?query=Brahmas%C5%ABtra
GSP33bbdip12u,,,,,"Brahmasūtra: Adhyāya 1, Pāda 2",,Bādarāyaṇa,P0AT0228,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/bbdip12u.htm,,https://archive.org/search.php?query=Brahmas%C5%ABtra
GSP33bbdip11u,,,,,"Brahmasūtra: Adhyāya 1, Pāda 1",,Bādarāyaṇa,P0AT0228,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/bbdip11u.htm,,https://archive.org/search.php?query=Brahmas%C5%ABtra
GSP32vvmanmhu,,,,,Mānamanohara,,Vādivāgīśvara,P0AT0227,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vaisesik/vvmanmhu.htm,,
GSP32vaissu1u,,,,,Vaiśeṣikasūtra,,Kaṇāda,P0AT0226,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vaisesik/vaissu1u.htm,,https://archive.org/search.php?query=Vai%C5%9Be%E1%B9%A3ikas%C5%ABtra
