title,original_link,link,notes
lakṣmītantram,,https://sa.wikisource.org/wiki/%E0%A4%B2%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A5%8D%E0%A4%AE%E0%A5%80%E0%A4%A4%E0%A4%A8%E0%A5%8D%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A4%AE%E0%A5%8D,
viśvaksenasaṃhitā,,,fully included in gretil
viśvāmitrasaṃhitā,,https://sa.wikisource.org/wiki/%E0%A4%B5%E0%A4%BF%E0%A4%B6%E0%A5%8D%E0%A4%B5%E0%A4%BE%E0%A4%AE%E0%A4%BF%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A4%B8%E0%A4%82%E0%A4%B9%E0%A4%BF%E0%A4%A4%E0%A4%BE,
viṣṇusaṃhitā,,https://sa.wikisource.org/wiki/%E0%A4%B5%E0%A4%BF%E0%A4%B7%E0%A5%8D%E0%A4%A3%E0%A5%81%E0%A4%B8%E0%A4%82%E0%A4%B9%E0%A4%BF%E0%A4%A4%E0%A4%BE,
sāttvatasaṃhitā,,https://sa.wikisource.org/wiki/%E0%A4%B8%E0%A4%BE%E0%A4%A4%E0%A5%8D%E0%A4%A4%E0%A5%8D%E0%A4%B5%E0%A4%A4%E0%A4%B8%E0%A4%82%E0%A4%B9%E0%A4%BF%E0%A4%A4%E0%A4%BE,
kriyākairavacandrikā,,https://sa.wikisource.org/wiki/%EF%BB%BF%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A4%BF%E0%A4%AF%E0%A4%BE-%E0%A4%95%E0%A5%88%E0%A4%B0%E0%A4%B5-%E0%A4%9A%E0%A4%A8%E0%A5%8D%E0%A4%A6%E0%A5%8D%E0%A4%B0%E0%A4%BF%E0%A4%95%E0%A4%BE,
,,,
vaikhānasāgamaḥ,,,
kriyādhikāraḥ,,https://sa.wikisource.org/wiki/%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A4%BF%E0%A4%AF%E0%A4%BE%E0%A4%A7%E0%A4%BF%E0%A4%95%E0%A4%BE%E0%A4%B0%E0%A4%83,
bhṛgusaṃhitā,,,fully included in gretil
yajñādhikāraḥ,,https://sa.wikisource.org/wiki/%E0%A4%AF%E0%A4%9C%E0%A5%8D%E0%A4%9E%E0%A4%BE%E0%A4%A7%E0%A4%BF%E0%A4%95%E0%A4%BE%E0%A4%B0%E0%A4%83,
,,,
śāktāgamaḥ ,,,
ṭoḍalatantram,,,fully included in gretil
devīkālottarāgamaḥ,,,fully included in gretil
paraśurāmakalpasūtram,,,fully included in gretil
mātṛkābhedatantram,,,fully included in gretil
mālinīvijayottaratantram,,,fully included in gretil
mālinīślokavārtikam,,,fully included in gretil
vātulanāthasūtrāṇi,,,fully included in gretil
vīṇāśikhatantram,,,fully included in gretil
śāktavijñānam,,,fully included in gretil
,,,
śaivāgamaḥ,,,
ajaḍapramātṛsiddhiḥ,,,fully included in gretil
anuttaraprakāśikā,,,fully included in gretil
anuttarāṣṭikā,,,fully included in gretil
amaraughaśāsanam,,,fully included in gretil
ūḍḍāmareśvaratantram,,,fully included in gretil
kiraṇatantram,,,fully included in gretil
kriyākramādyotikā,,https://sa.wikisource.org/wiki/%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A4%BF%E0%A4%AF%E0%A4%BE%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A4%AE%E0%A4%BE%E0%A4%A6%E0%A5%8D%E0%A4%AF%E0%A5%8B%E0%A4%A4%E0%A4%BF%E0%A4%95%E0%A4%BE,
gaṇakārikā,,,fully included in gretil
gorakṣaśatakam,,,fully included in gretil
paratriṃśikātattvavivaraṇam,,,fully included in gretil
paramārthasāraḥ,,,fully included in gretil
paryantapañcāśikā,,,fully included in gretil
pāśupatasūtram,,,fully included in gretil
bījanighaṇṭuḥ,,,fully included in gretil
bodhapañcadaśikā,,,fully included in gretil
mṛgendratantram,,,fully included in gretil
ratnatrayaparīkṣā,,,fully included in gretil
vijñānabhairavam,,,fully included in gretil
śivasūtravārtikā,,,fully included in gretil
śivopaniṣat,,,fully included in gretil
sārthatriśatikālottarāgamaḥ,,,fully included in gretil
,,,
aṃśumatkāśyapāgamaḥ,,https://sa.wikisource.org/wiki/%E0%A4%85%E0%A4%82%E0%A4%B6%E0%A5%81%E0%A4%AE%E0%A4%A4%E0%A5%8D%E0%A4%95%E0%A4%BE%E0%A4%B6%E0%A5%8D%E0%A4%AF%E0%A4%AA%E0%A4%BE%E0%A4%97%E0%A4%AE%E0%A4%83,
