original_filename,file,catalogue_no,title,title_notes,author,author_pid,url,editor,best_text,duplicate_of_standard,,Version: Completeness: incomplete | fragments | excerpts | uncertain,Version: Completness: further notes and specifications,"Title source: If not specified=MB, otherwise: Intenal/External+type (e.g. Colophon), if reconstructed add *",Title 2 (Muktabodha),"Ancillary to: MB catalogue number, or ilxM- entry specifically created when MB catalogue number is not available",Ancillary Type: Vyākhyātantra | Uttaratantra | Commentary | Sub-commentary| Ritual | Other | Excerpts,Ancillary Note (most commonly: if the commentary includes the mūla),Subjects (as in MB),Author's name: Source,Alternate name,"Alternate name: Source & Type (e.g. Muktabodha initial description, colophons etc.)",Colophon,Colophon Note
M00654 - sahib kaul - zrIvidyAnityapaddhati.htm,sahib_kaul_zrIvidyAnityapaddhati_M00654.xml,M00654,Śrīvidyanityapaddhati,,Sāhib Kaul,mbP0018,https://muktabodha-digital-library.org/texts/IAST/M00654,,,,,incomplete,lacking explicit+final colophon,,,,,,"['tantric / āgamic literature', 'Paddhati']",catalog,,,adhunāpaddhatiṃvakṣyeśrīvidyārcanasaṃyutāṃ ...,at beginning
M00217 - zrIvidyAraNyayati - zrIvidyArNavatantra.htm,zrIvidyAraNyayati_zrIvidyArNavatantra_M00217.xml,M00217,Śrīvidyārṇavatantra,,Śrīvidyāraṇyayati,mbP0086,https://muktabodha-digital-library.org/texts/IAST/M00217,Harabhatta Shastri,,,,,only pūrvārdha,,,,,,"['tantric / āgamic literature', 'śākta', 'śrī-vidyā']",colophon,,,iti śrīmahāmahopādhyāyabhagavatpūjyapādaśrīgovindācāryaśiṣyaśrībhagavacchaṅkarācāryaśiṣya śrīviṣṇuśarmācāryaśiṣyaśrīpragalbhācāryaśiṣya śrīvidyāraṇyayati viracite śrīvidyārṇavākhye tantre aṣṭādaśaḥ śvāsaḥ || samāptamidaṃ pūrvārdham,
M00261 - SaTcakranirNaya.htm,SaTcakranirNaya_M00261.xml,M00261,Ṣaṭcakranirṇaya,,,,https://muktabodha-digital-library.org/texts/IAST/M00261,,,,,incomplete,lacking explicit+final colophon,,,,,,['tantric / āgamic literature'],,,,atha ṣaṭcakranirṇayoyaṃ likhyate,at beginning
M00151 - SaTtriMzAttattvasandoha.htm,SaTtriMzAttattvasandoha_M00151.xml,M00151,Ṣaṭtriṃśāttattvasandoha Vivaraṇa,,Rājānakānanda,mbP0159,https://muktabodha-digital-library.org/texts/IAST/M00151,Śāstrī M R,,,,,,colophon,,ilxM00082,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'non-dual śaivism of Kashmir']",colophon,,,iti ṣaṭtriṃśattattvasaṃdohaḥ śrīmadrājānakānandācāryaviracitavivaraṇopetaḥ samāptaḥ + tilaka,
M00556 - SaDAmnAyapUjAvidhi.htm,SaDAmnAyapUjAvidhi_M00556.xml,M00556,Ṣaḍāmnāyapūjāvidhi,,,,https://muktabodha-digital-library.org/texts/IAST/M00556,,,,,,,,,,,,"['tantra / āgama', 'Paddhati']",,,,iti ṣaḍāmnāyapūjāvidhiḥ || purātanatāḍapatra pustakādidaṃ pustakaṃ 1979 saṃvatsare śāradāvilāsaśarmadvārā śrīmadrājaguruhemarājapaṇḍitena likhitam,
M00249 - SatSahasrakAlottarAgama.htm,SatSahasrakAlottarAgama_M00249.xml,M00249,Ṣaṭsahasrakālottarāgama,,,,https://muktabodha-digital-library.org/texts/IAST/M00249,,,,,incomplete,lacking approx. 4000 (concluding) verses,,,,,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",,,,iti ṣaṭsahasrikālottare mahātaṃtre gaṇapatipūjāpaṭalaḥ,towards beginning
M00334 - saMnyAsa upaniSads.htm,saMnyAsa_upaniSads_M00334.xml,M00334,Saṃnyāsa Upaniṣad Vivaraṇa,,Brahmayogin,mbP0128,https://muktabodha-digital-library.org/texts/IAST/M00334,,,,,,collection of full texts - yes,colophon,Avadhūtopaniṣat; Āruṇyupaniṣat; Kaṭharudropaniṣat; Kuṇḍikopaniṣat; Jābālopaniṣat; Turīyātītāvadhūtopaniṣat; Nāradaparivrājakopaniṣat; Nirvāṇopaniṣat; Parabrahmopaniṣat; Paramahaṃsaparivrājakopaniṣat; Brahmopaniṣat; Bhikṣukopaniṣat; Maitreyopaniṣat; Yājñavalkyopaniṣat; Śāṭyāyanīyopaniṣat; Saṃnyāsopaniṣat,ilxM00083,commentary,including the mūla,['upaniṣad'],colophon,,,avadhūtopaniṣat; āruṇyupaniṣat; kaṭharudropaniṣat; kuṇḍikopaniṣat; jābālopaniṣat; turīyātītāvadhūtopaniṣat; nāradaparivrājakopaniṣat; nirvāṇopaniṣat; parabrahmopaniṣat; paramahaṃsaparivrājakopaniṣat;  brahmopaniṣat; bhikṣukopaniṣat; maitreyopaniṣat; yājñavalkyopaniṣat; śāṭyāyanīyopaniṣat; saṃnyāsopaniṣat /// iti dvitīyo'dhyāyaḥ | śrīvāsudevendraśiṣyopaniṣadbrahmayoginā | saṃnyāsopaniṣadvyākhyā likhitā brahmagocarā | saṃnyāsopaniṣadvyākhyāgranthastu dviśataṃ smṛtaḥ || iti śrīmadīśādyaṣṭottaraśatopaniṣacchāstravivaraṇe pañcaṣaṣṭisaṃkhyāpūrakaṃ saṃnyāsopaniṣadvivaraṇaṃ saṃpūrṇam,collection of 16 listed texts /// at end
M00063 - sakalAgamasArasaGgraha.htm,sakalAgamasArasaGgraha_M00063.xml,M00063,Sakalāgamasārasaṅgraha,,,,https://muktabodha-digital-library.org/texts/IAST/M00063,,,,,incomplete,collection of excerpts - incomplete,,,,,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",,,,ityaṃśumān tantre vināyakavratavidhipaṭalaḥ || śubhamastu,at end
M00530 - sanatkumAratantra.htm,sanatkumAratantra_M00530.xml,M00530,Sanatkumāratantra,,,,https://muktabodha-digital-library.org/texts/IAST/M00530,,,,,,11 chapters,,,,,,"['tantra / āgama', 'vaiṣṇava']",,,,iti sanatkumāratantre sanatkumārapulastyasaṃvāde śrīgopālapūjāprayogavidhānaṃ nāmaikadaśaḥ paṭalaḥ,
M00564 - samayadIkSAdhivAsanavidhi.htm,samayadIkSAdhivAsanavidhi_M00564.xml,M00564,Samayadīkṣādhivāsanavidhi,,,,https://muktabodha-digital-library.org/texts/IAST/M00564,,,,,uncertain,yes?,,,,,,"['tantra / āgama', 'Paddhati']",,,,ityadhivāsanavidhi /// astreṇa prāyaścittārthaṃ śataṃ hutvā pūrṇāṃ ca datvā || samānyasamaya dīkṣāmiti,towards end /// at end
M00080 - utpaladeva - sambandhasiddhi.htm,utpaladeva_sambandhasiddhi_M00080.xml,M00080,Sambandhasiddhi,,Utpaladeva,mbP0002,https://muktabodha-digital-library.org/texts/IAST/M00080,,,,,,,,Siddhitrayī,,,,"['tantric / āgamic literature', 'śaiva', 'non-dual śaivism of Kashmir']",colophon,,,iti śrīmadudayākaraputrotpaladevācāryaviracitā saṃbandhasiddhiḥ samāptā,
M00576 - saravatIstotram mantrabhAsyam aSTAdazajAtinirNaya.htm,saravatIstotram_mantrabhAsyam_aSTAdazajAtinirNaya_M00576.xml,M00576,Sarasvatīstotram Mantrabhāsyam Aṣṭādaśajātinirṇaya,,,,https://muktabodha-digital-library.org/texts/IAST/M00576,,,,,,,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",,,,oṃ asya śrīsarasvatīstotramaṃtrasya āśvalāyana ṛṣiḥ anuṣṭūpchaṃdaḥ śrīvāgvādinīdevatā daivīṃ vācamajamati bījaṃ yadvāgiti śaktiḥ praṇodevīti kīlakaṃ ātmanaḥ sarasvatī devī prasāda siddhyarthe parameśvara prītyarthe pāṭhe viniyogaḥ /// ityaṣṭādaśajātinirṇayaḥ,towards beginning /// at end
M00227 - aghorazivAcArya - sarvajJAnottaravRttiH.htm,aghorazivAcArya_sarvajJAnottaravRttiH_M00227.xml,M00227,Sarvajñānottaravṛtti Yogaprakaraṇam,,Aghoraśivācārya,mbP0028,https://muktabodha-digital-library.org/texts/IAST/M00227,,,,,,,colophon,,M00327,commentary,,['tantric / āgamic literature'],colophon,,,iti lakṣadvayādhyāpaka śrīmadaghoraśivācāryaviracitāyāṃ śrīmatsarvajñānottaravṛttau yogaprakaraṇam,
M00327 - sarvajJAnottara.htm,sarvajJAnottara_M00327.xml,M00327,Sarvajñānottara,,,,https://muktabodha-digital-library.org/texts/IAST/M00327,,,,,,,,,,,,"['tantric / āgamic literature', 'śaiva-siddhānta']",,,,ātmanaḥ śuciretāni pareṣāmaśucirbhavet | śrīsarvajñānottare kamaṇḍaluprakaraṇaṃ || iti sarvajñānottarapādaḥ samāptaḥ,
M00120 - sarvAnanda - sarvollasatantra.htm,sarvAnanda_sarvollasatantra_M00120.xml,M00120,Sarvollasatantra,,Sarvānandanātha,mbP0087,https://muktabodha-digital-library.org/texts/IAST/M00120,Gopīnātha Kavirāja,,,,,,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",colophon,,,iti śrīsarvānandanātha viracite sarvollāse triṣaṣṭyullāsaḥ || etāvāneva grantha upalabdhaḥ,
M00342 - bhattacharya benoytosh - sAdhanamAlA vol. 1.htm,bhattacharya_benoytosh_sAdhanamAlA_vol._1_M00342.xml,M00342,Sādhanamālā Vol. 1,,,,https://muktabodha-digital-library.org/texts/IAST/M00342,Bhattacharya Benoytosh,,,,,yes - collection of excerpts - no colophons,,,,,,['tantric / āgamic literature'],,,,no,
M00343 - bhattacharya benoytosh - sAdhanamAlA vol. 2.htm,bhattacharya_benoytosh_sAdhanamAlA_vol._2_M00343.xml,M00343,Sādhanamālā Vol. 2,,,,https://muktabodha-digital-library.org/texts/IAST/M00343,Bhattacharya Benoytosh,,,,,yes - collection of excerpts - no colophons,,,,,,['tantric / āgamic literature'],,,,no,
M00076 - sAmbapaJcAzikA.htm,sAmbapaJcAzikA_M00076.xml,M00076,Sāmbapañcāśikā Vivṛti,,Kṣemarāja,mbP0049,https://muktabodha-digital-library.org/texts/IAST/M00076,,,,,,,colophon,,ilxM00084,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'non-dual śaivism of Kashmir']",colophon,,,iti mahāmāheśvarācāryavaryaśrīmadabhinavaguptapādapadmopajīvirājānakaśrīkṣemarājapraṇītavivṛtisametā śrīsāmbapañcāśikā samāptā | samāpto'yaṃ granthaḥ,
M00643 - sAvaratantramantrasaMgraha.htm,sAvaratantramantrasaMgraha_M00643.xml,M00643,Sāvaratantramantrasaṃgraha,,Rāmasiṃha,mbP0124,https://muktabodha-digital-library.org/texts/IAST/M00643,,,,,,6 chapters,,,,,,['tantra / āgama'],colophon,,,itiśrīsāvarataṃtremaṃtrasaṃgrahedurgerāmasiṃhakṛtesonāciraiābhya(?)namatikaṃvūtarakalāyāṃupadeśadvārācakrādiṣaṣṭhaḥ prakāśaḥ || yādṛśaṃpustakolokyaṃtādṛśenamayālipimamadoṣanadīyaṃteśuddhāśunajñātayam || saṃvata1956phālguṇasaptamijñavaghamūliḥsarayuśaraṇamūvāsadharagharadakṣikrośaikaṃ,
M00257 - siddhalakSMIpUjApaddhati.htm,siddhalakSMIpUjApaddhati_M00257.xml,M00257,Siddhalakṣṃīpūjāpaddhati,,,,https://muktabodha-digital-library.org/texts/IAST/M00257,,,,,,,,Vanadurgā Pūjāna,,,,"['tantric / āgamic literature', 'śākta', 'compendium', 'Paddhati']",,,,iti saṃkṣiptā siddhalakṣmīpūjāpaddhatiḥ samāptā /// bhagavan śivarātrivratamahaṃ kariṣye nirvighnaṃ sampādaya svāhā | śivarātrivratamidaṃ kariṣyehaṃ mahā pha(...),in middle /// at end
M00578 - siddhAntalezasaMgrahaTIkA.htm,siddhAntalezasaMgrahaTIkA_M00578.xml,M00578,Siddhāntaleśasaṃgraha Śrīkṛṣṇālaṃkāra,,Kṛṣṇānanda Sarasvatī,mbP0165,https://muktabodha-digital-library.org/texts/IAST/M00578,,,,,,3 chapters,colophon,,ilxM00085,commentary,,['tantric / āgamic literature'],colophon,,,iti śrīmatparamahaṃsaparivrājikācāryaśrīmatsvayaṃprakāśānaṃdasarasvatīdivyaśrīcaraṇāraviṃdasaṃlagnarajobhūtasya acyutakṛṣṇānaṃdatīrthasya kṛtau śāstrasiddhāṃtaleśasaṃgrahavyākhyāyāṃ śrīkṛṣṇālaṃkārākhyāyāṃ tṛtīyaḥ parichedaḥ || samāptam,
M00207 - zivayogizivAcArya - siddhAntazikhAmaNi.htm,zivayogizivAcArya_siddhAntazikhAmaNi_M00207.xml,M00207,Siddhāntaśikhāmaṇi Tattvapradīpikā,,Maritoṇḍadārya,mbP0160,https://muktabodha-digital-library.org/texts/IAST/M00207,,,,,,11 chapters,colophon,,ilxM00086,commentary,including the mūla,['śaiva'],colophon,,,iti śrīmatṣaṭsthalabrahmiṇā śivayogināmnā reṇukācāryeṇa viracite vīraśaivadharmanirṇaye siddhāntaśikhāmaṇau reṇukavibhīṣaṇasaṃvāde reṇukaśivaliṅgaikyaprasaṅgo nāmaikaviṃśaḥ paricchedaḥ || śrīsiddhāntaśikhāmaṇiśca samāptaḥ + ADDITIONAL TEXT - iti śrīmatpadavākyapramāṇapārāvāradhurīṇaśrīmaritoṇḍadāryeṇa viracitāyāṃ tattvapradīpikākhyāyāṃ siddhāntaśikhāmaṇivyākhyāyāṃ reṇukavibhīṣaṇasaṃvāde reṇukaśivaliṅgaikyaprasaṅgo nāmaikaviṃśaḥ paricchedaḥ,
M00531 - bhojadeva ascribed to - siddhAntasArapaddhati.htm,bhojadeva_ascribed_to_siddhAntasArapaddhati_M00531.xml,M00531,Siddhāntasārapaddhati,,Bhojadeva,mbP0012,https://muktabodha-digital-library.org/texts/IAST/M00531,,,,,incomplete,,,,,,,"['tantric / āgamic literature', 'śaiva', 'Paddhati']",colophon,,,iti mahārājādhirāja śrībhojadeva viracitāyāṃ siddhāntasārapaddhatau nityakarmavidhissamāptaḥ,in middle
I00022 - anantazambhu - siddhAntasArAvali with the commentary of anantazambhu.htm,anantazambhu_siddhAntasArAvali_with_the_commentary_of_anantazambhu_I00022.xml,I00022,Siddhāntasārāvali Vyākhyā,,Anantaśambhu,mbP0161,https://muktabodha-digital-library.org/texts/IAST/I00022,,,,,incomplete,,*,,ilxM00087,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",self-reference (towards incipit),,,śrīmadvaidyeśaliṅgaṃ paramamunigaṇaiḥ sevitaṃ satpadātye svasya prācyādikā(...) gatayugamanubhiḥ saṃyutaṃ liṅgarūpaiḥ natvānantākhyaśambhurvaragurukaruṇāmbodhisaṃsaktacetā śrīmatsiddhāntasārāvalivipratiparaṃ(...)cmi gūḍhārthasidhyai | jñānasya pratipādite viracitādvātṛṃśa tasyordhvatotvaṣṭāśīti sutā hutā gaṇanayā karmaṇyatāre muniḥ yogo rāvaṇabāhuyugmagaṇanāyuktā prayuktāḥ sadā āyuṣṣaṣṭhimunīndrakliptigaṇanā siddhāntasārāvaliḥ | tatra tāvadāmardakamaṭhanivāsīsakalāgamapāradṛśvā trilocanaśivācāryaḥ susantānāgamasaṃbhūtakāmikādisiddhāntatadbhedaṃ mṛgendrādyāgamamālocya tatra śabdārthayoḥ sāmarthyena labdhapramāṇaślokairanekai(kaiḥ) nirṇītārthaṃ padārthatrayayuktaṃ sapādacatuṣṭayaṃ siddhāntasārāvalī nāmadheyaṃ  grandhaṃ(nthaṃ) cikīrṣuścikīrṣatagranthasyāvighnena būrisamāptyarthaṃ niṣkalamūlamantrasyoccāraṇabhedena turyātītāvasthāsvarūpam /// iti jñānapādaṃ samāptam /// iti siddhāntasārāvalyāṃ kriyāpādaḥ samāptaḥ /// iti siddhāntasārāvalyāṃ yogapādaḥ samāptaḥ /// atha caryāpādaṃ vaktukāmastatrādau,almost at beginning /// in middle
M00328 - siddhAntArthasamuccaya.htm,siddhAntArthasamuccaya_M00328.xml,M00328,Siddhāntārthasamuccaya,,,,https://muktabodha-digital-library.org/texts/IAST/M00328,,,,,uncertain,? yes,,,,,,"['tantric / āgamic literature', 'śaiva-siddhānta']",,,,siddhāntārthasamuccayo gurumukhātprāptaḥ sphuṭaṃ likhyate /// iti sakalāgamasārasaṃgrahe siddhāntasārasamuccaye /// atra granthaḥ samāptimagamat | na jñāyate saṃpūrṇo vāsampūrṇoveti | ādau grantha nāma siddhāntārthasamuccaya iti dattam | caramapaṅktidarśanāt siddhāntasārasamuccaya iti sakalāgamasārasaṃgraha iti vā bhavediti sandihyate,at beginning /// at end /// note of editor (?)
M00415 - siddhilakSmI ArAmika.htm,siddhilakSmI_ArAmika_M00415.xml,M00415,Siddhilakṣmī Ārāmika,,,,https://muktabodha-digital-library.org/texts/IAST/M00415,,,,,uncertain,? yes,,,,,,"['tantra / āgama', 'śākta']",,,,iti śrīśrīśrīsiddhilakṣmīmate prakāśe jayadrathe vidyāpīṭhe pratyaṅgirāyāḥ kṣetrāvalīpīṭhastavaḥ samaptaḥ /// paddhatiḥ samāptaḥ /// iti ārātrika vidhiḥ,towards beginning /// in middle /// at end
M00567 - siddhilakSmIkavaca.htm,siddhilakSmIkavaca_M00567.xml,M00567,Siddhilakṣmīkavaca,,,,https://muktabodha-digital-library.org/texts/IAST/M00567,,,,,,,,,,,,"['tantra / āgama', 'Paddhati']",,,,iti śrītrailokyaḍāre śrīsiddhilakṣmīkavaca samāptaḥ || śubha,
M00417 - siddhilakSmIkoTyAhutidinakRtya.htm,siddhilakSmIkoTyAhutidinakRtya_M00417.xml,M00417,Siddhilakṣmīkoṭyāhutidinakṛtya,,,,https://muktabodha-digital-library.org/texts/IAST/M00417,,,,,,,,,,,,"['tantra / āgama', 'śākta']",,,,dinakṛtyavidhi likhyate /// iti dinakṛtya samāptaṃ || śubhaṃ || samvat 811 kāttikaśuklanavamīthvakunhu śrīśrīsumatijayajitāmitramalla deva sanadayakājurāṃ || śubhamastu sarvadā,at beginning /// at end
M00418 - siddhilakSmIkyutAkSaramAlAmantra.htm,siddhilakSmIkyutAkSaramAlAmantra_M00418.xml,M00418,Siddhilakṣmyayutākṣaramālāmantra,,,,https://muktabodha-digital-library.org/texts/IAST/M00418,,,,,,,,,,,,"['tantra / āgama', 'śākta']",,,,iti śrīkālānalatantre siddhilakṣmyāyutākṣaramālāmantraḥ samāptam,
M00569 - siddhilakSmIkramasthaNDilArcanavidhi.htm,siddhilakSmIkramasthaNDilArcanavidhi_M00569.xml,M00569,Siddhilakṣmīkramathaṇḍilārcanavidhi,,,,https://muktabodha-digital-library.org/texts/IAST/M00569,,,,,,,,,,,,"['tantra / āgama', 'Paddhati']",,,,tataḥ śrīsiddhilakṣmīkramathaṇḍilārcanaṃ /// iti śrīthaṇḍilārcanavidhiḥ samāptaḥ || adhivāsanapūjāyāya || upavāsayāya || thvate adhivāsanavidhiḥ samāptaḥ,at beginning /// at end
M00568 - siddhilakSmIkramArcanA.htm,siddhilakSmIkramArcanA_M00568.xml,M00568,Siddhilakṣmīkramārcana,,,,https://muktabodha-digital-library.org/texts/IAST/M00568,,,,,,,,,,,,"['tantra / āgama', 'Paddhati']",,,,iti śrīsiddhilakṣmīkramārcanaṃ samāpta + additional text,almost at end
M00416 - siddhilakSmIdevyArcana.htm,siddhilakSmIdevyArcana_M00416.xml,M00416,Siddhilakṣmīdevyārcana,,,,https://muktabodha-digital-library.org/texts/IAST/M00416,,,,,incomplete,lacking explicit + final colophon,,,,,,"['tantra / āgama', 'śākta']",,,,tato siddhilakṃī devyārcanaṃ,at beginning
M00571 - siddhilakSmInityapUjApaddhati.htm,siddhilakSmInityapUjApaddhati_M00571.xml,M00571,Siddhilakṣmīnityapūjāpaddhati,,,,https://muktabodha-digital-library.org/texts/IAST/M00571,,,,,incomplete,,,,,,,"['tantra / āgama', 'Paddhati']",,,,no,
M00570 - siddhilakSmImantroddhara.htm,siddhilakSmImantroddhara_M00570.xml,M00570,Siddhilakṣmīmantroddhara,,,,https://muktabodha-digital-library.org/texts/IAST/M00570,,,,,,,,,,,,"['tantra / āgama', 'Paddhati']",,,,śrīśiddhilakṣmīmantrodhārastotra samāpta,
M00572 - siddhilakSmIvidhAna.htm,siddhilakSmIvidhAna_M00572.xml,M00572,Siddhilakṣmīvidhāna,,,,https://muktabodha-digital-library.org/texts/IAST/M00572,,,,,,,,,,,,"['tantra / āgama', 'Paddhati']",,,,bhairava śrotasi vidyāpīṭhe śiracchede jayadrathayāmale mahātantre caturviṃśati sāhasre dvitīyaṣaṭke siddhalakṣmīvidhānaṃ ṣaṭtriṃśatimapaṭalaḥ || tha || saṃ 39 pauśaśu 5 || maṃgala mahāśrī || tha,
M00565 - siddhilakSmyadhivAsanasthaNDilArcanavidhi.htm,siddhilakSmyadhivAsanasthaNDilArcanavidhi_M00565.xml,M00565,Siddhilakṣmyadhivāsanasthaṇḍilārcanavidhi,,,,https://muktabodha-digital-library.org/texts/IAST/M00565,,,,,,,,,,,,"['tantra / āgama', 'Paddhati']",,,,tataḥ śrīsiddhilakṣmīkramathaṇḍilārcanaṃ /// adhivāsanakarmaṇi thaṇḍilārcanavidhiḥ samāptaḥ,at beginning /// at end
M00573 - siddhilakSmyayutAkSarI.htm,siddhilakSmyayutAkSarI_M00573.xml,M00573,Siddhilakṣmyayutākṣarī,,,,https://muktabodha-digital-library.org/texts/IAST/M00573,,,,,,,,,,,,"['tantra / āgama', 'Paddhati']",,,,iti śrīkālānalatantre siddhilakṣmyayutākṣaramālāmantraḥ samāptaṃ || śubha,
M00090 - suprabhedAgama.htm,suprabhedAgama_M00090.xml,M00090,Suprabhedāgama,,,,https://muktabodha-digital-library.org/texts/IAST/M00090,,,,,incomplete,lacking explicit+final colophon,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",,,,iti tantrasaṃkaravidhipaṭalaḥ ṣaṭpañcāśattamaḥ || iti suprabhede kriyāpādaḥ samāptaḥ /// iti prāyaścittavidhipaṭalodvādaśaḥ || iti suprabhede caryāpādaḥ samāptaḥ /// iti ādhārādheya vidhipaṭalastṛtīyaḥ || iti suprabhedeyogapādaḥ samāptaḥ /// atha jñānapāde śivasṛṣṭividhipaṭalaḥ,in middle
M00269 - subodhamaJjarI.htm,subodhamaJjarI_M00269.xml,M00269,Subodhamañjarī,,Vāmanadatta,mbP0091,https://muktabodha-digital-library.org/texts/IAST/M00269,,,,,,,title in colophon is spelled differently,,,,,['tantric / āgamic literature'],colophon,,,salabdha bodho sadbhāvo jīvanmukto vidhīyate | mīmāsāvanasiṃhasya harṣadāttasya sūnanā | kṛtā vāmana dattena svabodhodaryāmañjarī,
M00329 - sUkSmAgama.htm,sUkSmAgama_M00329.xml,M00329,Sūkṣmāgama,,,,https://muktabodha-digital-library.org/texts/IAST/M00329,,,,,incomplete,lacking explicit+final colophon,,,,,,['tantra / āgama'],,,,iti sūkṣmatantre śāstre pratiṣṭhātantre arcanavidhipaṭalaḥ,towards beginning
M00220 - somazambhupaddhativyAkhyA.htm,somazambhupaddhativyAkhyA_M00220.xml,M00220,Somaśambhupaddhati Vyākhyā,,Tryaṃbakaśambhu,mbP0162,https://muktabodha-digital-library.org/texts/IAST/M00220,,,,,incomplete,lacking incipit; ends with ch. 14,colophon,,ilxM00088,commentary,including the mūla,"['śaiva', 'śaiva-siddhānta', 'Paddhati']",colophon,,,iti śrī somaśambhuviracitāṃ śrīmatsomaśambhupaddhatau vā spaṣṭabodhinī tryaṃbakaśambhuviracite caturdaśa ṭīkā samāptā || hariḥ oṃ | śubhamastu,
M00672 - zaMkarAcArya attributed to - saundaryalaharI.htm,zaMkarAcArya_attributed_to_saundaryalaharI_M00672.xml,M00672,Saundaryalaharī Vyākhyā,,Lakṣmīdhara,mbP0121,https://muktabodha-digital-library.org/texts/IAST/M00672,,,,,,,colophon,,ilxM00089,commentary,including the mūla,['tantric / āgamic literature'],colophon,,,iti śrīlollakulasaṃpradāyapravartakabhramarāmbikāvaraprasādasamullasi tamahā sārasvatabhaṭṭalollapatigranthavivaraṇakartṛśrīmahopādhyāyamahādevācāryasaptamena sāhityapārijātasmṛtikalpataruprabandhaprabandhṛlakṣmīdharāryaṣaṣṭhena bharatārṇavapotākhyasāhityamīmāṃsāgranthadvayapraṇetṛviriñcimiśrapañcamena mīmāṃsādvayajīvātunirmātṛpuruṣottamamahopādhyāyanaṣtrāprābhākarāmṛtavāhinīprabhāvalīkhaṇḍanādyanekaprabandhasandarbhapravartakabirudapadamahopādhyāyalakṣmaṇāryapautreṇa nayavivekadīpikāprabandhasaṃvidhātṛmahopādhyāyavidvatsārvabhaumanūtanavyāsādyanekabirudāṅkitaśrīviśvanāthabhaṭṭārakatanayena adhītadaśaśatanayena pārvatīgarbhaśuktimuktāratnena bahūkṛtadhīciratnena lollakulakalaśāmbudhisudhāṃśunā yaśaḥprāṃśunā haritagotrakalpaśākhinā āpastambaśākhinā ṣaḍdarśanīpāradṛśvanā pratipakṣavṛkṣajañjhāmātariśvanā bhramarāmbikāprasādasamāsāditapratibhāviśeṣeṇa bhuvi śeṣeṇa nikhilayāmalatantrārṇavāvagāhanarudreṇa āśrayīkṛtagajapativīrarudreṇa nīlagirisundaracaraṇāravindacañcarīkeṇa vāṇīsahacarīkeṇa sarasvatīvilāsādyanekasmṛtinibandhanalakṣmīdharādyanekasāhityani bandhananayavivekabhūṣaṇādyanekagurumatanibandhanayogadīpikādyane kapātañjalamatanibandhanamahānibandhanākhyamānavadharmaśāstraṭīkākarṇāvataṃsasabarhāvataṃsādyanekakāvyakalpakena āśritajanakalpakena nigrahānugrahakauśikena śrīmahopādhyāyalakṣmīdharadeśikena kṛteyaṃ lakṣmīdharākhyā saundaryalaharīstutivyākhyā /// śrīmahātripurasundarīcaraṇāravindārpaṇamastu /// iti pañcastavī ca samāptā sakalajananīstavaḥ pañcamaḥ,towards beginning /// in middle /// at end
M00648 - saubhAgyakalpadrUma.htm,saubhAgyakalpadrUma_M00648.xml,M00648,Saubhāgyakalpadrūma,,,,https://muktabodha-digital-library.org/texts/IAST/M00648,,,,,incomplete,"lacking explicit+final colophon, ending mistyped/unclear",,,,,,['tantra / āgama'],,,,itiśrīsaubhāgyakalpadrumeprathamaskaṃdhaḥ,in middle
M00649 - saubhAgyatantra.htm,saubhAgyatantra_M00649.xml,M00649,Saubhāgyatantra,,,,https://muktabodha-digital-library.org/texts/IAST/M00649,,,,,,11 chapters,,,,,,['tantra / āgama'],,,,itiśrīmatsaubhāgyataṃtrepārāyaṇavidhauāmnāyanirūpaṇāṃnāmaikādaśaḥpaṭalaḥ śrīrājarājeśvaryārthaṇamasta,
M00312 - mukunda - saubhAgyataraGgiNI.htm,mukunda_saubhAgyataraGgiNI_M00312.xml,M00312,Saubhāgyataraṅgiṇī,,Mukunda,mbP0093,https://muktabodha-digital-library.org/texts/IAST/M00312,,,,,incomplete,lacking explicit+final colophon,,,,,,"['tantric / āgamic literature', 'śākta', 'Paddhati']",colophon,,,iti śrīmanmukundaviracitāyāṃ saubhāgyataraṅgiṇyāṃ prathamālaharī samāptaḥ,
M00577 - saubhAgyaratnAkara.htm,saubhAgyaratnAkara_M00577.xml,M00577,Saubhāgyaratnākara,,Vidyānaṃdanātha,mbP0127,https://muktabodha-digital-library.org/texts/IAST/M00577,,,,,incomplete,lacking explicit+final colophon,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",colophon,,,iti śrīsaccidānaṃdanātha caraṇāraviṃda dvadvāṃte vasinā śrīśrīvidyānaṃdanāthena viracite saubhāgyaratnākara prathamastaraṃgaḥ /// śrīvidyānaṃdanāthena śivayoḥ priyasūnunā,towards beginning /// at end
